purchase_order_id,supplier_id,sku,qty_ordered,order_date,expected_delivery_date,delivery_status
PO000001,SUP028,ITM00166,540,24-07-2023,16-08-2023,Cancelled
PO000002,SUP030,PRO00115,71,05-04-2025,11-04-2025,Cancelled
PO000003,SUP002,PRO00161,387,24-01-2025,12-03-2025,In Transit
PO000004,SUP020,PROD00117,74,24-03-2024,27-04-2024,
PO000005,SUP023,PRO00109,251,03-11-2024,11-11-2024,Pending
PO000006,SUP025,PROD00123,148,05-09-2024,16-09-2024,Pending
PO000007,SUP027,SKU00138,178,30-12-2024,16-01-2025,Pending
PO000008,SUP029,ITM00172,186,21-07-2024,25-08-2024,Pending
PO000009,SUP001,SKU00069,225,20-02-2023,07-04-2023,Delivered
PO000010,SUP013,ITM00091,239,26-10-2023,06-12-2023,Cancelled
PO000011,SUP022,ITM00135,515,20-06-2025,09-07-2025,Delayed
PO000012,SUP010,PRO00097,516,18-04-2024,27-04-2024,Cancelled
PO000013,SUP025,PROD00102,111,29-09-2024,09-10-2024,Cancelled
PO000014,SUP027,SKU00181,348,01-03-2023,19-04-2023,Delivered
PO000015,SUP016,SKU00194,196,06-12-2024,12-12-2024,Delayed
PO000016,SUP027,PROD00059,247,06-08-2024,25-08-2024,Delayed
PO000017,SUP006,PRO00151,273,08-08-2025,23-09-2025,Pending
PO000018,SUP013,ITM00040,180,17-02-2024,11-03-2024,Delayed
PO000019,SUP028,ITM00036,127,14-02-2023,23-03-2023,Pending
PO000020,SUP030,PROD00178,287,25-08-2023,30-09-2023,In Transit
PO000021,SUP026,PRO00007,112,12-06-2025,28-06-2025,Delayed
PO000022,SUP030,SKU00101,116,27-01-2024,15-03-2024,Cancelled
PO000023,SUP001,SKU00054,409,01-06-2023,07-06-2023,In Transit
PO000024,SUP006,PROD00132,261,08-06-2025,10-07-2025,Cancelled
PO000025,SUP020,PRO00022,117,26-10-2023,17-11-2023,Pending
PO000026,SUP001,PROD00145,350,29-09-2024,14-11-2024,Delayed
PO000027,SUP004,ITM00166,,01-09-2025,17-10-2025,Delayed
PO000028,SUP029,PRO00148,458,21-11-2023,13-12-2023,In Transit
PO000029,SUP012,PROD00075,359,03-12-2023,08-12-2023,In Transit
PO000030,SUP009,PROD00045,145,19-07-2025,17-08-2025,Cancelled
PO000031,SUP014,SKU00101,361,26-09-2023,04-11-2023,In Transit
PO000032,SUP020,PROD00184,52,24-01-2025,09-02-2025,Delayed
PO000033,SUP003,SKU00067,183,13-07-2023,04-08-2023,Pending
PO000034,SUP024,PROD00045,495,27-03-2023,10-05-2023,In Transit
PO000035,SUP028,ITM00021,412,21-04-2024,02-05-2024,Delayed
PO000036,SUP019,PRO00007,56,14-08-2024,03-10-2024,Pending
PO000037,SUP027,PROD00059,438,16-02-2023,17-03-2023,Pending
PO000038,SUP002,ITM00200,368,28-08-2023,02-10-2023,Pending
PO000039,SUP014,PROD00102,374,24-08-2025,11-10-2025,Pending
PO000040,SUP026,SKU00141,538,29-09-2025,25-10-2025,Pending
PO000041,SUP008,ITM00176,315,08-03-2024,23-03-2024, In Transit
PO000042,SUP011,PRO00133,270,19-06-2025,30-07-2025,Delayed
PO000043,SUP028,PRO00198,85,28-02-2023,20-03-2023,Delivered
PO000044,SUP025,PROD00075,423,20-08-2025,25-08-2025,In Transit
PO000045,SUP028,PRO00060,537,17-10-2023,22-11-2023,Delayed
PO000046,SUP021,PROD00080,206,19-06-2023,24-06-2023,Delayed
PO000047,SUP022,PROD00008,294,28-01-2024,21-02-2024,Pending
PO000048,SUP029,ITM00001,81,01-12-2024,29-12-2024,Pending
PO000049,SUP027,PROD00080,285,27-07-2025,13-08-2025,Delivered
PO000050,SUP029,ITM00110,436,07-03-2023,21-04-2023,In Transit
PO000051,SUP028,PROD00165,516,17-05-2025,25-06-2025,In Transit
PO000052,SUP005,PROD00160,162,27-04-2023,06-06-2023,In Transit
PO000053,SUP020,SKU00020,230,24-05-2024,11-06-2024,Delivered
PO000054,SUP028,SKU00069,75,02-03-2024,07-04-2024,Delayed
PO000055,SUP016,PRO00047,287,24-09-2024,31-10-2024,Delayed
PO000056,SUP025,PROD00049,539,25-01-2023,01-02-2023,Delivered 
PO000057,SUP020,SKU00088,302,24-02-2023,11-03-2023,In Transit 
PO000058,SUP004,ITM00033,413,01-03-2025,13-04-2025,In Transit
PO000059,SUP018,SKU00154,269,06-12-2023,26-12-2023,Pending
PO000060,SUP024,PROD00051,294,11-05-2023,27-05-2023,Pending
PO000061,SUP001,PRO00151,158,19-06-2023,05-07-2023,Pending
PO000062,SUP015,PROD00090,99,15-07-2023,26-07-2023,Cancelled
PO000063,SUP027,PROD00016,84,04-09-2023,12-09-2023,In Transit
PO000064,SUP020,PRO00042,267,15-11-2023,30-11-2023,Cancelled
PO000065,SUP021,SKU00046,320,13-05-2023,21-05-2023,Pending
PO000066,SUP016,PRO00022,319,21-03-2025,10-04-2025,Delayed
PO000067,SUP015,SKU00190,511,21-01-2025,21-02-2025,Delayed
PO000068,SUP020,PRO00156,480,25-03-2023,04-04-2023,Delivered
PO000069,SUP002,PROD00102,453,06-08-2024,16-09-2024,Delivered
PO000070,SUP025,ITM00134,348,31-07-2024,08-09-2024,
PO000071,SUP013,PRO00092,74,27-01-2025,03-03-2025,In Transit
PO000072,SUP017,PROD00147,246,06-09-2024,22-09-2024,Delivered
PO000073,SUP028,SKU00083,500,17-01-2023,22-01-2023,Pending
PO000074,SUP003,PROD00177,258,21-03-2025,03-05-2025,In Transit
PO000075,SUP004,ITM00139,126,03-09-2025,24-03-2025,Delayed 
PO000076,SUP012,ITM00114,428,01-03-2023,22-03-2023,In Transit
PO000077,SUP007,ITM00166,98,07-06-2024,28-06-2024,In Transit
PO000078,SUP013,PRO00156,,07-06-2024,14-06-2024,Delivered
PO000079,SUP004,PRO00012,380,03-11-2023,08-12-2023,Delivered
PO000080,SUP003,PROD00084,449,13-12-2024,30-12-2024,In Transit
PO000081,SUP016,SKU00173,428,03-06-2024,25-06-2024,Delayed
PO000082,SUP016,PRO00195,429,06-03-2024,27-03-2024,Pending
