table,column,row_count,null_count,null_pct,distinct_count,whitespace_dirty_count
products,sku,200,0,0.0,200,0
products,product_name,200,0,0.0,122,0
products,category,200,2,1.0,14,10
products,price,200,8,4.0,192,0
products,supplier_id,200,11,5.5,31,0
suppliers,supplier_id,30,0,0.0,30,0
suppliers,name,30,0,0.0,30,0
suppliers,lead_time_days,30,0,0.0,19,0
suppliers,reliability_score,30,0,0.0,28,0
inventory,sku,1000,0,0.0,200,0
inventory,warehouse_id,1000,0,0.0,5,0
inventory,current_stock,1000,17,1.7,636,0
inventory,safety_stock,1000,0,0.0,101,0
inventory,last_updated,1000,0,0.0,90,0
inventory_transactions,transaction_id,8000,0,0.0,8000,0
inventory_transactions,sku,8000,0,0.0,200,0
inventory_transactions,warehouse_id,8000,0,0.0,5,0
inventory_transactions,transaction_type,8000,262,3.28,20,253
inventory_transactions,quantity_change,8000,0,0.0,400,0
inventory_transactions,timestamp,8000,149,1.86,1002,0
purchase_orders,purchase_order_id,3000,0,0.0,3000,0
purchase_orders,supplier_id,3000,0,0.0,30,0
purchase_orders,sku,3000,0,0.0,200,0
purchase_orders,qty_ordered,3000,59,1.97,499,0
purchase_orders,order_date,3000,62,2.07,965,0
purchase_orders,expected_delivery_date,3000,0,0.0,1015,0
purchase_orders,delivery_status,3000,72,2.4,20,87
