table,column,expected_format,raw_value
purchase_orders,order_date,%d-%m-%Y,09/25/2025
purchase_orders,order_date,%d-%m-%Y,07/22/2025
purchase_orders,order_date,%d-%m-%Y,05/14/2025
purchase_orders,order_date,%d-%m-%Y,09/16/2025
purchase_orders,order_date,%d-%m-%Y,02/22/2024
purchase_orders,order_date,%d-%m-%Y,03/30/2024
purchase_orders,order_date,%d-%m-%Y,05/18/2025
purchase_orders,order_date,%d-%m-%Y,07/14/2023
purchase_orders,order_date,%d-%m-%Y,07/14/2024
purchase_orders,order_date,%d-%m-%Y,07/21/2025
purchase_orders,order_date,%d-%m-%Y,01/16/2024
purchase_orders,order_date,%d-%m-%Y,09/19/2023
purchase_orders,order_date,%d-%m-%Y,09/20/2023
purchase_orders,order_date,%d-%m-%Y,07/25/2025
purchase_orders,order_date,%d-%m-%Y,01/25/2025
purchase_orders,order_date,%d-%m-%Y,07/22/2025
purchase_orders,order_date,%d-%m-%Y,11/27/2023
purchase_orders,order_date,%d-%m-%Y,02/18/2024
purchase_orders,order_date,%d-%m-%Y,07/14/2024
purchase_orders,order_date,%d-%m-%Y,07/20/2025
purchase_orders,order_date,%d-%m-%Y,02/14/2024
purchase_orders,order_date,%d-%m-%Y,08/23/2025
purchase_orders,order_date,%d-%m-%Y,01/25/2024
purchase_orders,order_date,%d-%m-%Y,08/21/2025
purchase_orders,expected_delivery_date,%d-%m-%Y,04/25/2023
purchase_orders,expected_delivery_date,%d-%m-%Y,05/19/2023
purchase_orders,expected_delivery_date,%d-%m-%Y,04/26/2023
purchase_orders,expected_delivery_date,%d-%m-%Y,10/15/2023
purchase_orders,expected_delivery_date,%d-%m-%Y,10/29/2025
purchase_orders,expected_delivery_date,%d-%m-%Y,11/17/2023
purchase_orders,expected_delivery_date,%d-%m-%Y,03/29/2024
purchase_orders,expected_delivery_date,%d-%m-%Y,03/18/2024
purchase_orders,expected_delivery_date,%d-%m-%Y,07/29/2023
purchase_orders,expected_delivery_date,%d-%m-%Y,07/15/2025
purchase_orders,expected_delivery_date,%d-%m-%Y,09/14/2025
purchase_orders,expected_delivery_date,%d-%m-%Y,03/16/2023
purchase_orders,expected_delivery_date,%d-%m-%Y,12/19/2023
purchase_orders,expected_delivery_date,%d-%m-%Y,01/29/2023
purchase_orders,expected_delivery_date,%d-%m-%Y,07/16/2023
purchase_orders,expected_delivery_date,%d-%m-%Y,05/17/2023
purchase_orders,expected_delivery_date,%d-%m-%Y,10/18/2024
purchase_orders,expected_delivery_date,%d-%m-%Y,09/14/2024
purchase_orders,expected_delivery_date,%d-%m-%Y,04/21/2023
purchase_orders,expected_delivery_date,%d-%m-%Y,05/22/2024
purchase_orders,expected_delivery_date,%d-%m-%Y,07/15/2023
purchase_orders,expected_delivery_date,%d-%m-%Y,05/13/2023
purchase_orders,expected_delivery_date,%d-%m-%Y,09/13/2023
purchase_orders,expected_delivery_date,%d-%m-%Y,12/24/2024
purchase_orders,expected_delivery_date,%d-%m-%Y,03/16/2025
purchase_orders,expected_delivery_date,%d-%m-%Y,09/29/2025
purchase_orders,expected_delivery_date,%d-%m-%Y,06/30/2023
purchase_orders,expected_delivery_date,%d-%m-%Y,05/15/2023
purchase_orders,expected_delivery_date,%d-%m-%Y,04/20/2023
purchase_orders,expected_delivery_date,%d-%m-%Y,08/18/2024
purchase_orders,expected_delivery_date,%d-%m-%Y,03/23/2024
purchase_orders,expected_delivery_date,%d-%m-%Y,05/26/2024
purchase_orders,expected_delivery_date,%d-%m-%Y,11/18/2024
purchase_orders,expected_delivery_date,%d-%m-%Y,04/19/2024
purchase_orders,expected_delivery_date,%d-%m-%Y,07/29/2024
purchase_orders,expected_delivery_date,%d-%m-%Y,05/13/2023
inventory,last_updated,%Y-%m-%d,31-08-2025
inventory,last_updated,%Y-%m-%d,03-08-2025
inventory,last_updated,%Y-%m-%d,08/10/2025
inventory,last_updated,%Y-%m-%d,08/17/2025
inventory,last_updated,%Y-%m-%d,08/13/2025
inventory,last_updated,%Y-%m-%d,16-09-2025
inventory,last_updated,%Y-%m-%d,02-09-2025
inventory,last_updated,%Y-%m-%d,23-08-2025
inventory,last_updated,%Y-%m-%d,07-08-2025
inventory,last_updated,%Y-%m-%d,08/18/2025
inventory,last_updated,%Y-%m-%d,11-08-2025
inventory,last_updated,%Y-%m-%d,18-09-2025
inventory,last_updated,%Y-%m-%d,28-09-2025
inventory,last_updated,%Y-%m-%d,09/12/2025
inventory,last_updated,%Y-%m-%d,09/24/2025
inventory,last_updated,%Y-%m-%d,20-09-2025
inventory,last_updated,%Y-%m-%d,18-09-2025
inventory,last_updated,%Y-%m-%d,08/24/2025
inventory,last_updated,%Y-%m-%d,07-08-2025
inventory,last_updated,%Y-%m-%d,08/05/2025
inventory,last_updated,%Y-%m-%d,08/26/2025
inventory,last_updated,%Y-%m-%d,19-08-2025
inventory,last_updated,%Y-%m-%d,08/08/2025
inventory,last_updated,%Y-%m-%d,27-08-2025
inventory,last_updated,%Y-%m-%d,08/19/2025
inventory,last_updated,%Y-%m-%d,08/21/2025
inventory,last_updated,%Y-%m-%d,08/06/2025
inventory,last_updated,%Y-%m-%d,09/21/2025
inventory,last_updated,%Y-%m-%d,16-08-2025
inventory,last_updated,%Y-%m-%d,17-08-2025
inventory,last_updated,%Y-%m-%d,01-08-2025
inventory,last_updated,%Y-%m-%d,28-09-2025
inventory,last_updated,%Y-%m-%d,21-08-2025
inventory,last_updated,%Y-%m-%d,17-08-2025
