table_name,dimension,record_id
products,completeness,PROD00147
products,completeness,SKU00152
products,completeness,PRO00037
products,completeness,PRO00042
products,completeness,ITM00050
products,completeness,SKU00054
products,completeness,SKU00057
products,completeness,PRO00066
products,completeness,SKU00143
products,completeness,ITM00176
products,completeness,SKU00031
products,completeness,ITM00036
products,completeness,ITM00040
products,completeness,PROD00073
products,completeness,PRO00095
products,completeness,ITM00112
products,completeness,PRO00115
products,completeness,SKU00130
products,completeness,SKU00138
products,completeness,PROD00167
products,completeness,ITM00200
purchase_orders,completeness,PO000027
purchase_orders,completeness,PO000078
purchase_orders,completeness,PO000116
purchase_orders,completeness,PO000157
purchase_orders,completeness,PO000268
purchase_orders,completeness,PO000279
purchase_orders,completeness,PO000330
purchase_orders,completeness,PO000407
purchase_orders,completeness,PO000417
purchase_orders,completeness,PO000542
purchase_orders,completeness,PO000593
purchase_orders,completeness,PO000599
purchase_orders,completeness,PO000622
purchase_orders,completeness,PO000652
purchase_orders,completeness,PO000667
purchase_orders,completeness,PO000681
purchase_orders,completeness,PO000687
purchase_orders,completeness,PO000729
purchase_orders,completeness,PO000800
purchase_orders,completeness,PO000867
purchase_orders,completeness,PO000899
purchase_orders,completeness,PO001001
purchase_orders,completeness,PO001024
purchase_orders,completeness,PO001248
purchase_orders,completeness,PO001290
purchase_orders,completeness,PO001349
purchase_orders,completeness,PO001435
purchase_orders,completeness,PO001473
purchase_orders,completeness,PO001550
purchase_orders,completeness,PO001555
purchase_orders,completeness,PO001644
purchase_orders,completeness,PO001679
purchase_orders,completeness,PO001692
purchase_orders,completeness,PO001706
purchase_orders,completeness,PO001714
purchase_orders,completeness,PO001803
purchase_orders,completeness,PO001805
purchase_orders,completeness,PO001851
purchase_orders,completeness,PO001884
purchase_orders,completeness,PO001908
purchase_orders,completeness,PO001968
purchase_orders,completeness,PO002015
purchase_orders,completeness,PO002041
purchase_orders,completeness,PO002072
purchase_orders,completeness,PO002107
purchase_orders,completeness,PO002191
purchase_orders,completeness,PO002300
purchase_orders,completeness,PO002361
purchase_orders,completeness,PO002460
purchase_orders,completeness,PO002463
purchase_orders,completeness,PO002464
purchase_orders,completeness,PO002468
purchase_orders,completeness,PO002562
purchase_orders,completeness,PO002732
purchase_orders,completeness,PO002736
purchase_orders,completeness,PO002800
purchase_orders,completeness,PO002808
purchase_orders,completeness,PO002944
purchase_orders,completeness,PO002963
purchase_orders,completeness,PO000086
purchase_orders,completeness,PO000097
purchase_orders,completeness,PO000116
purchase_orders,completeness,PO000128
purchase_orders,completeness,PO000140
purchase_orders,completeness,PO000159
purchase_orders,completeness,PO000183
purchase_orders,completeness,PO000188
purchase_orders,completeness,PO000238
purchase_orders,completeness,PO000252
purchase_orders,completeness,PO000266
